,GRD_PTS_PER_UNIT,CATALOG_NBR,GPAO,ANON_INSTR_ID,TERM,HSGPA,LAST_ACT_ENGL_SCORE,LAST_ACT_MATH_SCORE,LAST_ACT_READ_SCORE,LAST_ACT_SCIRE_SCORE,LAST_ACT_COMP_SCORE,SEX,At_Risk
0,2.0,271,2.945,3057,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
1,1.7,271,3.11875,1996,102,3.9,29.0,26.0,34.0,32.0,31.0,1,0
2,0.0,271,2.5,4230,102,0.0,25.0,30.0,28.6889,29.0385,30.0,1,1
3,2.0,271,3.738461538,56,102,3.7,25.0,34.0,28.6889,29.0385,32.0,1,0
4,2.4,271,3.326530612,283,102,3.6,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
5,2.0,271,3.176923077,2889,102,3.2,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
6,2.7,271,3.344,3493,102,3.9,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
7,2.7,271,3.354545455,56,102,3.6,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
8,1.7,271,2.7,410,102,3.9,27.0,30.0,20.0,29.0,27.0,0,0
10,2.0,271,2.6268292680000003,3558,102,4.0,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
11,2.7,271,3.604761905,3057,102,3.3,27.0,25.0,25.0,23.0,25.0,1,0
12,2.7,271,3.7875,410,102,3.7,32.0,30.0,32.0,31.0,31.0,1,0
13,2.3,271,3.248,1675,102,3.5,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
14,4.0,271,3.9,17,102,4.0,32.0,35.0,32.0,31.0,32.0,1,0
15,2.7,271,3.05,410,102,3.7,32.0,32.0,28.6889,29.0385,30.0,0,0
16,2.0,271,3.45,2889,102,3.9,35.0,33.0,32.0,30.0,33.0,1,0
17,3.7,271,3.859259259,1895,102,0.0,22.0,32.0,28.6889,29.0385,27.0,1,0
18,4.0,271,3.653658537,2259,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
19,2.0,271,2.9036036039999997,1862,102,3.6,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
20,4.0,271,3.9826086960000002,1862,102,3.4,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
21,0.0,271,2.4083333330000003,846,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,0,1
22,4.0,271,3.6357142860000002,1895,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
23,1.7,271,2.870731707,3345,102,3.7,36.0,32.0,35.0,26.0,32.0,1,0
24,2.7,271,3.07027027,3558,102,3.8,29.0,35.0,34.0,33.0,33.0,0,0
25,0.0,271,3.217647059,3057,102,4.0,29.0,28.0,28.6889,29.0385,30.0,0,1
26,2.0,271,2.777631579,3057,102,3.71,23.0,23.0,20.0,25.0,23.0,0,0
27,3.3,271,3.784,4230,102,0.0,32.0,34.0,36.0,33.0,34.0,1,0
28,2.3,271,3.3842105260000004,3057,102,3.7,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
29,0.0,271,2.866129032,3558,102,3.9,30.0,25.0,30.0,25.0,28.0,1,1
30,2.0,271,3.3176470589999996,56,102,3.7,33.0,27.0,28.6889,29.0385,29.0,1,0
31,2.3,271,3.742857143,4683,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
32,3.7,271,3.58,2495,102,3.9,33.0,32.0,28.6889,29.0385,32.0,1,0
33,1.3,271,2.445454545,2495,102,3.4,29.0,28.0,31.0,27.0,29.0,0,0
34,3.0,271,3.250909091,846,102,3.9,26.0,25.0,25.0,21.0,24.0,1,0
35,1.7,271,3.3,3558,102,4.0,29.0,24.0,25.0,23.0,26.0,1,0
36,3.7,271,3.566666667,283,102,3.5,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
