,alcohol,density,chlorides,total sulfur dioxide,citric acid,residual sugar,quality
0,10.3,0.99534,0.052000000000000005,150.0,0.38,8.6,0
1,12.9,0.9907100000000001,0.025,95.0,0.29,6.2,1
2,9.6,0.9929,0.048,191.0,0.2,2.0,0
3,10.6,0.9933,0.037000000000000005,120.0,0.35,1.9,0
4,12.6,0.9894200000000001,0.032,73.0,0.27,3.2,1
5,11.5,0.9906,0.038,122.0,0.29,1.0,0
6,9.3,0.9994299999999999,0.05,184.0,0.24,18.35,0
7,11.4,0.99182,0.027999999999999997,132.0,0.28,1.8,0
8,10.0,0.992,0.04,174.0,0.34,1.0,0
9,9.0,0.99808,0.062,171.0,0.3,12.8,1
10,10.8,0.9925,0.043,149.0,0.33,1.6,0
11,9.7,0.99298,0.032,112.0,0.38,1.3,0
12,8.9,0.99976,0.044000000000000004,184.0,0.34,13.7,0
13,11.7,0.9908799999999999,0.038,76.0,0.29,2.4,1
14,12.1,0.99144,0.034,118.0,0.4,6.1,1
15,11.3,0.9904,0.036000000000000004,56.0,0.29,1.1,0
16,9.1,0.9994700000000001,0.051,156.0,0.39,14.5,0
17,10.7,0.9917600000000001,0.027999999999999997,124.0,0.51,4.3,1
18,13.1,0.9897,0.046,134.0,0.27,3.1,1
19,12.3,0.992,0.046,98.0,0.3,5.7,1
20,8.8,0.99975,0.046,169.0,0.32,13.4,1
21,10.3,0.996,0.046,123.0,0.36,2.4,0
22,9.1,0.99824,0.046,141.0,0.22,16.0,0
23,11.1,0.9923,0.046,125.0,0.34,2.6,1
24,12.8,0.99636,0.046,122.0,0.45,22.6,0
25,11.8,0.9903299999999999,0.046,131.0,0.32,0.95,0
26,10.6,0.9959,0.046,169.0,0.42,7.1,0
27,9.2,0.9958,0.046,180.0,0.36,8.1,0
28,11.9,0.992,0.046,138.0,0.4,6.85,1
29,9.1,0.9998,0.046,134.0,0.49,15.55,1
30,10.1,0.9927,0.046,140.0,0.28,1.2,1
31,9.2,0.99666,0.046,159.0,0.18,10.6,0
32,11.4,0.9917,0.046,128.0,0.3,2.0,0
33,10.0,0.9956799999999999,0.046,166.0,0.23,9.5,0
34,12.7,0.9904,0.046,124.0,0.19,3.2,1
35,8.8,0.9963,0.046,183.0,0.31,8.4,0
36,9.1,0.9932,0.046,136.0,0.58,1.1,0
37,9.4,0.9959399999999999,0.046,183.0,0.28,9.4,0
38,9.6,0.9966200000000001,0.046,175.0,0.38,7.5,0
39,10.9,0.9938,0.046,126.0,0.47,1.1,0
40,8.7,0.99825,0.046,168.0,0.3,13.7,1
41,9.4,0.9962799999999999,0.046,140.0,0.52,10.1,0
42,10.0,0.99574,0.046,86.0,0.34,9.3,0
43,9.9,0.9953,0.046,150.0,0.42,9.1,1
44,9.3,0.9962,0.046,113.0,0.34,8.8,1
45,9.0,0.9984799999999999,0.046,234.0,0.46,9.7,0
46,10.5,0.9933,0.046,150.0,0.27,1.7,1
47,12.5,0.9905799999999999,0.046,80.0,0.27,4.7,1
48,11.7,0.9914,0.046,138.0,0.4,1.9,0
49,9.3,0.9987299999999999,0.046,171.0,0.64,13.9,0
50,9.1,0.998,0.046,159.0,0.56,14.5,0
51,9.2,0.9982200000000001,0.046,116.0,0.47,13.3,0
52,13.5,0.99079,0.046,107.0,0.13,5.0,1
53,10.0,0.9922,0.046,147.0,0.08,1.3,0
54,9.2,0.9934,0.046,75.0,0.38,1.1,0
55,10.9,0.9929,0.046,128.0,0.32,1.7,0
56,10.0,0.9922,0.046,144.0,0.07,1.4,0
57,9.6,0.9965,0.046,158.0,0.29,7.5,0
58,9.0,0.99713,0.046,204.0,0.09,11.4,0
59,10.0,0.99535,0.046,160.0,0.27,7.5,0
60,9.5,0.9942,0.046,137.0,0.01,2.8,0
61,8.8,0.9987,0.046,181.0,0.54,16.3,0
62,9.6,0.99545,0.046,194.0,0.51,8.0,0
63,10.8,0.9954,0.046,131.0,0.3,10.2,1
64,10.0,0.99265,0.046,88.0,0.19,1.6,1
65,9.1,0.9968,0.046,150.0,0.34,9.2,0
66,8.8,0.9961,0.046,180.0,0.25,7.2,0
67,10.2,0.9936,0.046,142.0,0.49,1.3,0
68,10.0,0.99316,0.046,219.5,0.33,2.5,0
69,8.8,0.99918,0.046,198.0,0.26,17.6,0
70,10.0,0.9937,0.046,107.0,0.1,1.3,0
71,9.2,0.9982,0.046,195.0,0.5,13.3,0
72,9.1,0.9987,0.046,171.0,0.51,15.3,0
73,9.7,0.9931,0.046,171.0,0.69,1.3,0
74,10.3,0.9967799999999999,0.046,129.0,0.41,14.2,1
75,10.7,0.99272,0.046,128.0,0.23,1.7,1
76,10.5,0.993,0.046,144.0,0.49,1.6,0
77,10.0,0.9954,0.046,176.0,0.28,7.7,0
78,9.5,0.9956,0.046,111.0,0.27,8.6,0
79,9.2,0.9971,0.046,191.0,0.25,9.8,0
80,9.4,0.99705,0.046,303.0,0.22,5.95,0
81,12.3,0.9903,0.046,96.0,0.49,3.0,1
82,11.5,0.99335,0.046,114.0,0.27,10.4,1
83,8.9,0.9958,0.046,115.0,0.24,3.8,0
